Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,310.000000,315.299988,305.899994,311.600006,311.600006,844271
2018-10-12,313.250000,324.000000,313.250000,318.799988,318.799988,927516
2018-10-15,318.799988,318.799988,309.600006,313.200012,313.200012,732968
2018-10-16,314.500000,323.000000,314.049988,321.049988,321.049988,1904410
2018-10-17,325.000000,327.799988,311.899994,314.700012,314.700012,1170712
2018-10-19,314.700012,321.549988,310.299988,314.899994,314.899994,658068
2018-10-22,319.600006,329.649994,316.399994,327.000000,327.000000,1590774
2018-10-23,322.700012,328.600006,318.700012,321.700012,321.700012,768993
2018-10-24,328.100006,329.799988,316.799988,323.950012,323.950012,892667
2018-10-25,319.799988,321.850006,311.950012,319.700012,319.700012,917895
2018-10-26,320.799988,323.399994,313.100006,315.049988,315.049988,955850
2018-10-29,328.899994,352.049988,326.649994,349.149994,349.149994,4672294
2018-10-30,348.899994,353.799988,343.000000,345.899994,345.899994,1908371
2018-10-31,344.149994,356.299988,335.000000,355.100006,355.100006,1669791
2018-11-01,356.100006,358.399994,351.299988,353.399994,353.399994,774468
2018-11-02,356.500000,357.649994,352.000000,354.299988,354.299988,5770969
2018-11-05,351.600006,351.799988,347.799988,349.799988,349.799988,1642203
2018-11-06,349.799988,358.100006,347.649994,353.200012,353.200012,775936
2018-11-07,356.850006,357.250000,354.700012,356.000000,356.000000,199246
2018-11-09,357.049988,357.799988,352.700012,355.799988,355.799988,568619
2018-11-12,357.799988,358.000000,351.750000,352.299988,352.299988,560641
2018-11-13,348.000000,362.000000,348.000000,360.899994,360.899994,873474
2018-11-14,363.600006,369.500000,361.399994,366.600006,366.600006,1470867
2018-11-15,365.000000,374.750000,362.000000,369.600006,369.600006,1269746
2018-11-16,371.000000,375.250000,365.500000,367.399994,367.399994,981628
2018-11-19,370.000000,370.450012,360.750000,362.500000,362.500000,485938
2018-11-20,362.549988,365.500000,354.850006,358.000000,358.000000,746089
2018-11-21,356.000000,360.200012,353.049988,356.799988,356.799988,662309
2018-11-22,359.149994,359.250000,351.000000,351.950012,351.950012,1295026
2018-11-26,355.899994,357.750000,350.750000,356.500000,356.500000,687664
2018-11-27,356.500000,356.500000,351.700012,354.350006,354.350006,560847
2018-11-28,357.700012,361.450012,353.500000,359.049988,359.049988,856921
2018-11-29,362.399994,366.200012,360.149994,362.250000,362.250000,804496
2018-11-30,363.549988,364.799988,354.049988,355.000000,355.000000,713925
2018-12-03,359.799988,359.799988,352.299988,355.500000,355.500000,559877
2018-12-04,352.350006,359.200012,352.350006,358.000000,358.000000,527262
2018-12-05,355.799988,356.000000,349.700012,351.100006,351.100006,553546
2018-12-06,349.399994,349.899994,343.500000,347.549988,347.549988,575568
2018-12-07,349.899994,353.000000,345.649994,352.149994,352.149994,756168
2018-12-10,347.000000,349.549988,344.350006,346.350006,346.350006,472824
2018-12-11,338.000000,344.450012,335.899994,342.750000,342.750000,1040638
2018-12-12,344.399994,351.500000,339.500000,350.399994,350.399994,2410005
2018-12-13,352.149994,354.149994,347.000000,349.299988,349.299988,692476
2018-12-14,349.899994,354.000000,349.350006,352.100006,352.100006,692819
2018-12-17,352.000000,360.000000,351.950012,358.000000,358.000000,606882
2018-12-18,358.000000,362.750000,354.549988,362.350006,362.350006,7145339
2018-12-19,364.649994,369.250000,361.049988,366.600006,366.600006,615426
2018-12-20,363.799988,365.600006,361.299988,362.250000,362.250000,615997
2018-12-21,362.850006,363.500000,351.299988,353.350006,353.350006,1584031
2018-12-24,353.700012,357.049988,351.750000,353.299988,353.299988,290654
2018-12-26,351.750000,356.500000,348.000000,355.350006,355.350006,479217
2018-12-27,357.299988,360.700012,354.750000,355.399994,355.399994,263706
2018-12-28,357.350006,362.750000,357.350006,361.049988,361.049988,381486
2018-12-31,361.600006,363.600006,359.350006,360.000000,360.000000,403731
2019-01-01,362.000000,364.850006,356.500000,363.649994,363.649994,257616
